amz_url,style_id,flip_url,flip_pdp_link
https://www.amazon.in/dp/B0BPMHK8NM,VSK01NBPT005_L,https://www.flipkart.com/search?q=veirdo%20VSK01NBPT005_L,https://www.flipkart.com/x/p/k?pid=TSHGC4TWAYSQCGVZ
https://www.amazon.in/dp/B0BPMJMVY2,VSK01NBPT006_L,https://www.flipkart.com/search?q=veirdo%20VSK01NBPT006_L,https://www.flipkart.com/x/p/k?pid=TSHGG4FJGF2KWZMH
https://www.amazon.in/dp/B0BPMH3BXR,VSK01OLPT007_L,https://www.flipkart.com/search?q=veirdo%20VSK01OLPT007_L,https://www.flipkart.com/x/p/k?pid=TSHGG4FJGF2KWZMH
https://www.amazon.in/dp/B0BPMG85YB,VSK01RDPT003_L,https://www.flipkart.com/search?q=veirdo%20VSK01RDPT003_L,https://www.flipkart.com/x/p/k?pid=TSHGG4FJGF2KWZMH
https://www.amazon.in/dp/B0BPMFKFCN,VSK01WHPT004_L,https://www.flipkart.com/search?q=veirdo%20VSK01WHPT004_L,https://www.flipkart.com/x/p/k?pid=TSHGEPW7FKH7GWPF
https://www.amazon.in/dp/B09RFCQJLR,W_04_GL_COW_MKY_M,https://www.flipkart.com/search?q=juneberry%20W_04_GL_COW_MKY_M,https://www.flipkart.com/x/p/k?pid=SWSGAGT39PJG7UKC
https://www.amazon.in/dp/B0BNJ33WZH,W_05_BDSIGNAL_MY_3XL,https://www.flipkart.com/search?q=veirdo%20W_05_BDSIGNAL_MY_3XL,https://www.flipkart.com/x/p/k?pid=SWSGKRYFZTGWCGRG
https://www.amazon.in/dp/B0BLKTNYHR,W_05_BROWN_SUN_S,https://www.flipkart.com/search?q=veirdo%20W_05_BROWN_SUN_S,https://www.flipkart.com/x/p/k?pid=SWSGKC8XD5VH8NAJ
https://www.amazon.in/dp/B0BNHZ2LTF,W_05_DIMENSION_N_3XL,https://www.flipkart.com/search?q=veirdo%20W_05_DIMENSION_N_3XL,https://www.flipkart.com/x/p/k?pid=SWSGKGT5X8BXBXW9
https://www.amazon.in/dp/B0BNJ1PH5X,W_05_HLDVSION_O_3XL,https://www.flipkart.com/search?q=veirdo%20W_05_HLDVSION_O_3XL,https://www.flipkart.com/x/p/k?pid=SWSGKGT5VZG2HAAH
https://www.amazon.in/dp/B0BF5J3JBS,W_05_PURPLE_3XL,https://www.flipkart.com/search?q=veirdo%20W_05_PURPLE_3XL,https://www.flipkart.com/x/p/k?pid=SWSGG4B3Y7CEFMAC
https://www.amazon.in/dp/B0BLCQBVB2,W_05_PURPLE_SMILE_3XL,https://www.flipkart.com/search?q=veirdo%20W_05_PURPLE_SMILE_3XL,https://www.flipkart.com/x/p/k?pid=SWSGG4B3Y7CEFMAC
https://www.amazon.in/dp/B0BF5N4K12,W_05_RUST_3XL,https://www.flipkart.com/search?q=veirdo%20W_05_RUST_3XL,https://www.flipkart.com/x/p/k?pid=TSHGADR2TWDMSSNG
https://www.amazon.in/dp/B0BMQDYDQF,W_05_RUST_VEIRDO_3XL,https://www.flipkart.com/search?q=veirdo%20W_05_RUST_VEIRDO_3XL,https://www.flipkart.com/x/p/k?pid=TSHGJMM79AHMH3HH
https://www.amazon.in/dp/B09R22L2Q4,W_334_CAMPUS_S,https://www.flipkart.com/search?q=veirdo%20W_334_CAMPUS_S,NA
