Amazon_Product_Title,Sku_id,Amazon_URL,Flipkart_Product_Title,Flipkart_URL,Myntra_Product_Title,Myntra_URL,Choose
"Veirdo Shirt for Men, Cotton Regular Fit Short-Sleeve, Floral Printed Shirt Navy Blue",VSH01NYPT008_L,https://www.amazon.in/dp/B0BLW8ZBQZ,Veirdo Men Printed Casual Blue Shirt,https://www.flipkart.com/x/p/k?pid=SHTGJQA6248TQUSC,VEIRDO Men Navy Blue Printed Casual Shirt,https://www.myntra.com/20640838,1
"Veirdo Shirt for Men, Cotton Regular Fit Short-Sleeve, Geometric Printed Shirt Blue",VSH01NYPT039_L,https://www.amazon.in/dp/B0BLWB96HV,Veirdo Men Printed Casual Blue Shirt,https://www.flipkart.com/x/p/k?pid=SHTGJQA6WXMGHCNA,VEIRDO Men Navy Blue Printed Casual Shirt,https://www.myntra.com/20640856,1
"Veirdo Shirt for Men, Cotton Regular Fit Short-Sleeve, Floral Printed Shirt Blue",VSH01NYPT041_L,https://www.amazon.in/dp/B0BLWDN6CG,Veirdo Men Printed Casual Blue Shirt,https://www.flipkart.com/x/p/k?pid=SHTGJQA6Z7Y5ZGWV,VEIRDO Men Navy Blue Striped Casual Shirt,https://www.myntra.com/20640858,1
"Veirdo Shirt for Men, Cotton Regular Fit Short-Sleeve, Leaf Printed Shirt Olive",VSH01OLPT040_L,https://www.amazon.in/dp/B0BLWC85HL,Veirdo Men Printed Casual Green Shirt,https://www.flipkart.com/x/p/k?pid=SHTGJQAEAKXX85NT,VEIRDO Men Olive Green Printed Casual Shirt,https://www.myntra.com/20640794,1
"Veirdo Shirt for Men, Cotton Regular Fit Full-Sleeve, Plaid Printed Shirt Rust",VSH01ORCH012_L,https://www.amazon.in/dp/B0BLWCRYKC,Veirdo Men Checkered Casual Orange Shirt,https://www.flipkart.com/x/p/k?pid=SHTGJQA6JTYHSN3N,VEIRDO Men Rust Tartan Checks Checked Casual Shirt,https://www.myntra.com/20640792,1
"Veirdo Shirt for Men, Cotton Regular Fit Full-Sleeve, Plaid Printed Shirt Peach",VSH01ORCH025_L,https://www.amazon.in/dp/B0BLW9GWY1,Veirdo Men Checkered Casual Pink Shirt,https://www.flipkart.com/x/p/k?pid=SHTGJQA6TCZEEJFY,VEIRDO Men Pink Tartan Checked Cotton Casual Shirt,https://www.myntra.com/20640860,1
"Veirdo Shirt for Men, Cotton Regular Fit Full-Sleeve, Plaid Printed Shirt Rust",VSH01ORCH032_L,https://www.amazon.in/dp/B0BLW96QV7,Veirdo Men Checkered Casual Orange Shirt,https://www.flipkart.com/x/p/k?pid=SHTGJQA6WJGG53AZ,VEIRDO Men Rust Tartan Checks Checked Casual Shirt,https://www.myntra.com/20640862,1
"Veirdo Shirt for Men, Cotton Regular Fit Full-Sleeve, Plaid Printed Shirt White",VSH01OWCH017_L,https://www.amazon.in/dp/B0BLW9SBHT,Veirdo Men Checkered Casual White Shirt,https://www.flipkart.com/x/p/k?pid=SHTGJQA62JVTYF5B,VEIRDO Men White Tartan Checks Checked Casual Shirt,https://www.myntra.com/20640836,1
"Veirdo Shirt for Men, Cotton Regular Fit Full-Sleeve, Plaid Printed Shirt Blue",VSH01PTCH013_L,https://www.amazon.in/dp/B0BLX3ZBJ9,Veirdo Men Checkered Casual Blue Shirt,https://www.flipkart.com/x/p/k?pid=SHTGJQAF2REMHGE8,VEIRDO Men Blue Tartan Checks Checked Casual Shirt,https://www.myntra.com/20640842,1
"Veirdo Shirt for Men, Cotton Regular Fit Full-Sleeve, Plaid Printed Shirt Blue",VSH01PTCH019_L,https://www.amazon.in/dp/B0BLLQLQVL,Veirdo Men Checkered Casual Blue Shirt,https://www.flipkart.com/x/p/k?pid=SHTGJQAFZ7VWTGAX,VEIRDO Men Blue Tartan Checks Checked Casual Shirt,https://www.myntra.com/20640852,1
