amz_url,style_id,flip_url,flip_pdp_link,given_flp_link,result
https://www.amazon.in/dp/B0BJPS48PJ,101_FS_DDL_BLK_L,https://www.flipkart.com/search?q=veirdo%20101_FS_DDL_BLK_L,https://www.flipkart.com/x/p/k?pid=TSHGJ663HZ9HN7HC,https://www.flipkart.com/x/p/k?pid=TSHGJ663HZ9HN7HC,1
https://www.amazon.in/dp/B0BJPS6NQ5,101_FS_FRSOUL_SN_L,https://www.flipkart.com/search?q=veirdo%20101_FS_FRSOUL_SN_L,https://www.flipkart.com/x/p/k?pid=TSHGJ666P5FWQGMT,https://www.flipkart.com/x/p/k?pid=TSHGJ666P5FWQGMT,1
https://www.amazon.in/dp/B0BJPS1ZYL,101_FS_MSCT_BLK_L,https://www.flipkart.com/search?q=veirdo%20101_FS_MSCT_BLK_L,https://www.flipkart.com/x/p/k?pid=TSHGJHZACXZH9MFB,https://www.flipkart.com/x/p/k?pid=TSHGJHZACXZH9MFB,1
https://www.amazon.in/dp/B0BN42L8G7,101_FS_RCNCTNG_MR_L,https://www.flipkart.com/search?q=veirdo%20101_FS_RCNCTNG_MR_L,https://www.flipkart.com/x/p/k?pid=TSHGKRW8YUQ96RFD,https://www.flipkart.com/x/p/k?pid=TSHGKRW8YUQ96RFD,1
https://www.amazon.in/dp/B0BJPTNZM7,101_FS_TEDDY_BLK_L,https://www.flipkart.com/search?q=veirdo%20101_FS_TEDDY_BLK_L,https://www.flipkart.com/x/p/k?pid=TSHGJMTKFAGESCFK,https://www.flipkart.com/x/p/k?pid=TSHGJMTKFAGESCFK,1
https://www.amazon.in/dp/B0BN426ZLD,101_FS_TPHPE_NY_L,https://www.flipkart.com/search?q=veirdo%20101_FS_TPHPE_NY_L,https://www.flipkart.com/x/p/k?pid=TSHGK8YEHARRFZGT,https://www.flipkart.com/x/p/k?pid=TSHGK8YEHARRFZGT,1
https://www.amazon.in/dp/B0BN43XNM3,101_FS_TPHPE_RD_M,https://www.flipkart.com/search?q=veirdo%20101_FS_TPHPE_RD_M,https://www.flipkart.com/x/p/k?pid=TSHGK8YKH2AFPYAR,https://www.flipkart.com/x/p/k?pid=TSHGK8YKH2AFPYAR,1
https://www.amazon.in/dp/B0BN43ZGWX,101_FS_TRVLALNG_BL_L,https://www.flipkart.com/search?q=veirdo%20101_FS_TRVLALNG_BL_L,https://www.flipkart.com/x/p/k?pid=TSHGK8YGDDJZNCPB,https://www.flipkart.com/x/p/k?pid=TSHGK8YGDDJZNCPB,1
https://www.amazon.in/dp/B0BN42PFDZ,101_FS_TRVLALNG_RD_L,https://www.flipkart.com/search?q=veirdo%20101_FS_TRVLALNG_RD_L,https://www.flipkart.com/x/p/k?pid=TSHGK8YGWSNGTJEY,https://www.flipkart.com/x/p/k?pid=TSHGK8YGWSNGTJEY,1
https://www.amazon.in/dp/B0BJPT97PX,101_FS_VEIRDO_RB_L,https://www.flipkart.com/search?q=veirdo%20101_FS_VEIRDO_RB_L,https://www.flipkart.com/x/p/k?pid=TSHGJ663CYG4WUP6,https://www.flipkart.com/x/p/k?pid=TSHGJ663CYG4WUP6,1
https://www.amazon.in/dp/B0B1N5HSJF,C_DCM2214_W_3XL,https://www.flipkart.com/search?q=juneberry%20C_DCM2214_W_3XL,https://www.flipkart.com/x/p/k?pid=TOPGCYVGF9QGXAMU,https://www.flipkart.com/x/p/k?pid=TOPGCYVGF9QGXAMU,1
https://www.amazon.in/dp/B09ZXGN3YY,C_DMF2205_SN_L,https://www.flipkart.com/search?q=juneberry%20C_DMF2205_SN_L,https://www.flipkart.com/x/p/k?pid=TOPGCYVG6SHXZ86P,https://www.flipkart.com/x/p/k?pid=TOPGCYVG6SHXZ86P,1
https://www.amazon.in/dp/B0B6G465KS,C_DMF2221_RB_3XL,https://www.flipkart.com/search?q=juneberry%20C_DMF2221_RB_3XL,https://www.flipkart.com/x/p/k?pid=TOPGG9GMVNNFGG3H,https://www.flipkart.com/x/p/k?pid=TOPGG9GMVNNFGG3H,1
https://www.amazon.in/dp/B09ZXWRPFD,C_DMK2225_W_L,https://www.flipkart.com/search?q=juneberry%20C_DMK2225_W_L,https://www.flipkart.com/x/p/k?pid=TOPGCYVGMPSGHEMZ,https://www.flipkart.com/x/p/k?pid=TOPGCYVGMPSGHEMZ,1
